Index,Time,uwTick
633,10.149000,6700
634,10.161000,6711
635,10.171000,6722
636,10.183000,6733
637,10.193000,6744
638,10.204000,6754
639,10.214000,6764
640,10.225000,6775
641,10.235000,6785
642,10.246000,6796
643,10.256000,6807
644,10.267000,6817
645,10.277000,6828
646,10.289000,6839
647,10.299000,6850
648,10.310000,6860
649,10.321000,6871
650,10.332000,6882
651,10.342000,6893
652,10.353000,6903
653,10.364000,6914
654,10.375000,6925
655,10.385000,6936
656,10.396000,6947
657,10.407000,6958
658,10.418000,6968
659,10.429000,6979
660,10.440000,6990
661,10.450000,7001
662,10.461000,7011
663,10.471000,7022
664,10.482000,7033
665,10.493000,7043
666,10.503000,7053
667,10.514000,7064
668,10.524000,7074
669,10.535000,7085
670,10.545000,7096
671,10.556000,7106
672,10.566000,7116
673,10.576000,7126
674,10.587000,7137
675,10.597000,7147
676,10.608000,7158
677,10.618000,7168
678,10.628000,7178
679,10.639000,7190
680,10.650000,7200
681,10.660000,7210
682,10.670000,7220
683,10.681000,7231
684,10.692000,7242
685,10.702000,7253
686,10.713000,7264
687,10.724000,7275
688,10.735000,7285
689,10.745000,7295
690,10.755000,7306
691,10.766000,7316
692,10.776000,7326
693,10.787000,7337
694,10.798000,7348
695,10.808000,7358
696,10.819000,7369
697,10.830000,7380
698,10.840000,7391
699,10.851000,7401
700,10.861000,7412
701,10.872000,7423
702,10.883000,7434
703,10.894000,7444
704,10.904000,7455
705,10.915000,7466
706,10.926000,7477
707,10.937000,7488
708,10.948000,7499
709,10.959000,7510
710,10.970000,7520
711,10.980000,7531
712,10.990000,7541
713,11.002000,7552
714,11.013000,7563
715,11.024000,7574
716,11.035000,7585
717,11.046000,7596
718,11.056000,7607
719,11.067000,7618
720,11.079000,7629
721,11.090000,7640
722,11.101000,7651
723,11.111000,7662
724,11.122000,7672
725,11.132000,7683
726,11.144000,7694
727,11.154000,7705
728,11.165000,7716
729,11.176000,7726
730,11.187000,7737
731,11.198000,7748
732,11.208000,7759
733,11.219000,7769
734,11.229000,7779
735,11.240000,7790
736,11.251000,7801
737,11.262000,7812
738,11.272000,7823
739,11.283000,7834
740,11.294000,7844
741,11.304000,7854
742,11.314000,7865
743,11.325000,7876
744,11.337000,7887
745,11.347000,7898
746,11.358000,7908
747,11.369000,7919
748,11.379000,7929
749,11.390000,7940
750,11.400000,7951
751,11.411000,7962
752,11.422000,7973
753,11.433000,7983
754,11.443000,7994
755,11.454000,8005
756,11.464000,8016
757,11.477000,8027
758,11.487000,8037
759,11.498000,8048
760,11.509000,8059
761,11.519000,8070
762,11.530000,8080
763,11.540000,8090
764,11.551000,8101
765,11.561000,8112
766,11.571000,8122
767,11.582000,8132
768,11.593000,8143
769,11.603000,8154
770,11.615000,8166
771,11.626000,8177
772,11.637000,8187
773,11.647000,8198
774,11.659000,8209
775,11.670000,8221
776,11.681000,8231
777,11.691000,8242
778,11.702000,8252
779,11.712000,8263
780,11.723000,8274
781,11.733000,8284
782,11.744000,8295
783,11.755000,8306
784,11.765000,8316
785,11.776000,8327
786,11.787000,8337
787,11.798000,8348
788,11.809000,8359
789,11.819000,8370
790,11.829000,8380
791,11.840000,8390
792,11.850000,8400
793,11.860000,8410
794,11.871000,8421
795,11.881000,8432
796,11.892000,8443
797,11.904000,8455
798,11.915000,8466
799,11.927000,8477
800,11.937000,8488
801,11.948000,8499
802,11.959000,8510
803,11.969000,8520
804,11.980000,8531
805,11.991000,8541
806,12.001000,8553
807,12.013000,8563
808,12.024000,8575
809,12.035000,8585
810,12.046000,8596
811,12.057000,8608
812,12.067000,8618
813,12.078000,8629
814,12.089000,8639
815,12.100000,8650
816,12.111000,8661
817,12.122000,8672
818,12.132000,8683
819,12.143000,8693
820,12.153000,8704
821,12.163000,8714
822,12.174000,8725
823,12.185000,8735
824,12.196000,8746
825,12.206000,8757
826,12.217000,8768
827,12.228000,8779
828,12.239000,8790
829,12.250000,8800
830,12.260000,8811
831,12.272000,8822
832,12.282000,8833
833,12.293000,8844
834,12.304000,8854
835,12.314000,8865
836,12.325000,8876
837,12.336000,8887
838,12.347000,8898
839,12.358000,8909
840,12.369000,8920
841,12.379000,8930
842,12.390000,8940
843,12.401000,8951
844,12.411000,8962
845,12.422000,8973
846,12.433000,8984
847,12.444000,8994
848,12.454000,9004
849,12.466000,9016
850,12.477000,9028
851,12.488000,9039
852,12.499000,9050
853,12.509000,9060
854,12.520000,9070
855,12.531000,9081
856,12.541000,9091
857,12.552000,9102
858,12.562000,9113
859,12.572000,9123
860,12.584000,9135
861,12.594000,9145
862,12.605000,9155
863,12.615000,9166
864,12.627000,9177
865,12.638000,9188
866,12.648000,9199
867,12.659000,9209
868,12.670000,9220
869,12.680000,9231
870,12.691000,9241
871,12.701000,9252
872,12.712000,9263
873,12.723000,9273
874,12.734000,9284
875,12.745000,9295
876,12.755000,9305
877,12.765000,9316
878,12.776000,9327
879,12.786000,9337
880,12.797000,9348
881,12.808000,9358
882,12.818000,9368
883,12.828000,9379
884,12.839000,9389
885,12.850000,9400
886,12.860000,9411
887,12.871000,9422
888,12.883000,9433
889,12.893000,9443
890,12.904000,9454
891,12.915000,9465
892,12.925000,9476
893,12.936000,9486
894,12.946000,9496
895,12.957000,9507
896,12.967000,9518
897,12.978000,9529
898,12.989000,9540
899,13.000000,9551
900,13.011000,9562
901,13.022000,9573
902,13.033000,9583
903,13.043000,9593
904,13.054000,9604
905,13.064000,9614
906,13.075000,9625
907,13.086000,9636
908,13.096000,9647
909,13.107000,9657
910,13.117000,9668
911,13.128000,9679
912,13.139000,9689
913,13.149000,9700
914,13.160000,9711
915,13.171000,9722
916,13.182000,9732
917,13.192000,9742
918,13.202000,9753
919,13.214000,9764
920,13.224000,9774
921,13.234000,9785
922,13.245000,9795
923,13.255000,9805
924,13.265000,9815
925,13.276000,9826
926,13.286000,9836
927,13.296000,9847
928,13.306000,9857
929,13.317000,9868
930,13.328000,9878
931,13.338000,9889
932,13.349000,9900
933,13.360000,9910
934,13.370000,9921
935,13.381000,9932
936,13.392000,9943
937,13.403000,9954
938,13.413000,9964
939,13.424000,9974
940,13.435000,9985
941,13.446000,9997
942,13.457000,10008
943,13.468000,10018
944,13.478000,10029
945,13.489000,10039
946,13.500000,10050
947,13.511000,10061
948,13.521000,10071
949,13.531000,10082
950,13.542000,10092
951,13.553000,10104
952,13.564000,10114
953,13.574000,10125
954,13.585000,10135
955,13.595000,10146
956,13.606000,10156
957,13.616000,10167
958,13.627000,10178
959,13.638000,10188
960,13.648000,10198
961,13.658000,10209
962,13.669000,10220
963,13.680000,10231
964,13.691000,10242
965,13.701000,10252
966,13.711000,10262
967,13.722000,10272
968,13.733000,10283
969,13.744000,10295
970,13.755000,10306
971,13.766000,10316
972,13.776000,10327
973,13.786000,10337
974,13.796000,10347
975,13.807000,10358
976,13.818000,10368
977,13.828000,10379
978,13.839000,10389
979,13.849000,10400
980,13.860000,10411
981,13.870000,10421
982,13.882000,10432
983,13.892000,10443
984,13.903000,10453
985,13.913000,10464
986,13.924000,10475
987,13.935000,10485
988,13.945000,10496
989,13.956000,10506
990,13.966000,10517
991,13.976000,10527
992,13.986000,10537
993,13.997000,10548
994,14.008000,10558
995,14.018000,10569
996,14.030000,10580
997,14.041000,10591
998,14.051000,10602
999,14.062000,10612
1000,14.072000,10622
1001,14.082000,10633
1002,14.092000,10643
1003,14.103000,10654
1004,14.113000,10664
1005,14.125000,10675
1006,14.135000,10686
1007,14.145000,10696
1008,14.156000,10707
1009,14.167000,10718
1010,14.178000,10728
1011,14.188000,10739
1012,14.198000,10749
1013,14.208000,10759
1014,14.219000,10770
1015,14.230000,10780
1016,14.241000,10791
1017,14.251000,10801
1018,14.261000,10812
1019,14.272000,10823
1020,14.282000,10833
1021,14.293000,10843
1022,14.304000,10854
1023,14.314000,10864
1024,14.324000,10875
1025,14.334000,10885
1026,14.345000,10896
1027,14.356000,10907
1028,14.367000,10917
1029,14.377000,10928
1030,14.388000,10939
1031,14.399000,10949
1032,14.409000,10960
1033,14.420000,10971
1034,14.431000,10981
1035,14.441000,10991
1036,14.451000,11002
1037,14.462000,11013
1038,14.473000,11023
1039,14.484000,11034
1040,14.496000,11046
1041,14.506000,11056
1042,14.517000,11067
1043,14.527000,11078
1044,14.538000,11088
1045,14.549000,11099
1046,14.559000,11109
1047,14.569000,11120
1048,14.580000,11131
1049,14.591000,11141
1050,14.602000,11152
1051,14.612000,11163
1052,14.624000,11175
1053,14.635000,11185
1054,14.645000,11196
1055,14.656000,11207
1056,14.667000,11217
1057,14.677000,11228
1058,14.688000,11239
1059,14.699000,11249
1060,14.709000,11260
1061,14.720000,11271
1062,14.731000,11281
1063,14.741000,11292
1064,14.752000,11303
1065,14.764000,11314
1066,14.774000,11325
1067,14.785000,11336
1068,14.795000,11346
1069,14.807000,11357
1070,14.817000,11368
1071,14.828000,11379
1072,14.839000,11390
1073,14.850000,11401
1074,14.861000,11412
1075,14.872000,11423
1076,14.882000,11433
1077,14.893000,11444
1078,14.903000,11454
1079,14.914000,11465
1080,14.925000,11475
1081,14.936000,11486
1082,14.946000,11497
1083,14.957000,11508
1084,14.969000,11520
1085,14.979000,11530
1086,14.990000,11541
1087,15.001000,11551
1088,15.011000,11562
1089,15.022000,11573
1090,15.032000,11583
1091,15.043000,11593
1092,15.053000,11604
1093,15.064000,11614
1094,15.075000,11625
1095,15.085000,11636
1096,15.096000,11647
1097,15.106000,11657
1098,15.119000,11670
1099,15.131000,11681
1100,15.141000,11692
1101,15.152000,11703
1102,15.163000,11714
1103,15.173000,11724
1104,15.184000,11735
1105,15.195000,11746
1106,15.206000,11757
1107,15.217000,11768
1108,15.229000,11779
1109,15.240000,11790
1110,15.250000,11800
1111,15.260000,11811
1112,15.270000,11821
1113,15.281000,11831
1114,15.291000,11842
1115,15.302000,11852
1116,15.312000,11863
1117,15.324000,11875
1118,15.335000,11885
1119,15.345000,11895
1120,15.356000,11906
1121,15.366000,11916
1122,15.377000,11927
1123,15.388000,11938
1124,15.398000,11954
1125,15.414000,11965
1126,15.425000,11975
1127,15.435000,11985
1128,15.445000,11996
1129,15.456000,12006
1130,15.466000,12017
1131,15.477000,12028
1132,15.487000,12038
1133,15.497000,12048
1134,15.509000,12059
1135,15.519000,12070
1136,15.530000,12081
1137,15.541000,12091
1138,15.552000,12102
1139,15.563000,12113
1140,15.573000,12124
1141,15.585000,12135
1142,15.595000,12146
1143,15.606000,12156
1144,15.617000,12167
1145,15.627000,12178
1146,15.637000,12188
1147,15.647000,12198
1148,15.658000,12209
1149,15.669000,12220
1150,15.679000,12230
1151,15.689000,12240
1152,15.699000,12250
1153,15.710000,12260
1154,15.721000,12271
1155,15.732000,12282
1156,15.742000,12293
1157,15.753000,12304
1158,15.764000,12314
1159,15.774000,12325
1160,15.785000,12336
1161,15.796000,12347
1162,15.806000,12357
1163,15.817000,12368
1164,15.828000,12379
1165,15.838000,12389
1166,15.848000,12399
1167,15.859000,12409
1168,15.870000,12420
1169,15.880000,12431
1170,15.891000,12442
1171,15.902000,12453
1172,15.913000,12464
1173,15.923000,12474
1174,15.934000,12484
1175,15.945000,12496
1176,15.955000,12506
1177,15.966000,12516
1178,15.976000,12527
1179,15.987000,12538
1180,15.999000,12550
1181,16.010000,12561
1182,16.021000,12571
1183,16.032000,12583
1184,16.042000,12592
1185,16.052000,12603
1186,16.063000,12613
1187,16.073000,12624
1188,16.084000,12635
1189,16.096000,12646
1190,16.106000,12657
1191,16.117000,12667
1192,16.127000,12678
1193,16.138000,12689
1194,16.149000,12700
1195,16.160000,12710
1196,16.170000,12721
1197,16.181000,12731
1198,16.192000,12743
1199,16.202000,12753
1200,16.213000,12764
1201,16.224000,12774
1202,16.234000,12785
1203,16.244000,12795
1204,16.255000,12806
1205,16.266000,12816
1206,16.276000,12827
1207,16.287000,12838
1208,16.298000,12849
1209,16.308000,12859
1210,16.318000,12869
1211,16.330000,12881
1212,16.340000,12891
1213,16.351000,12902
1214,16.362000,12912
1215,16.372000,12923
1216,16.383000,12934
1217,16.395000,12945
1218,16.405000,12956
1219,16.415000,12966
1220,16.425000,12976
1221,16.436000,12986
1222,16.446000,12997
1223,16.457000,13007
1224,16.468000,13018
1225,16.479000,13029
1226,16.490000,13041
1227,16.501000,13051
1228,16.512000,13062
1229,16.524000,13074
1230,16.535000,13085
1231,16.546000,13096
1232,16.556000,13107
1233,16.567000,13117
1234,16.577000,13128
1235,16.588000,13138
1236,16.598000,13149
1237,16.608000,13159
1238,16.618000,13169
1239,16.629000,13180
1240,16.640000,13190
1241,16.651000,13201
1242,16.662000,13212
1243,16.672000,13223
1244,16.683000,13234
1245,16.695000,13245
1246,16.705000,13256
1247,16.716000,13267
1248,16.727000,13277
1249,16.738000,13288
1250,16.748000,13299
1251,16.758000,13309
1252,16.770000,13320
1253,16.781000,13331
1254,16.791000,13342
1255,16.802000,13353
1256,16.813000,13364
